id,key,value,step,created_at
1,num_completed_trips,0.0,1,2025-10-11 10:50:22.787650
2,total_travel_time (sec),0.0,1,2025-10-11 10:50:22.787653
3,total_travel_distance (m),0.0,1,2025-10-11 10:50:22.787653
4,num_completed_trips,4.0,3601,2025-10-11 10:53:36.715142
5,total_travel_time (sec),3642.0,3601,2025-10-11 10:53:36.715143
6,total_travel_distance (m),33209.85596861458,3601,2025-10-11 10:53:36.715144
7,num_completed_trips,4.0,7201,2025-10-11 10:56:43.863233
8,total_travel_time (sec),3939.0,7201,2025-10-11 10:56:43.863235
9,total_travel_distance (m),35432.97419014025,7201,2025-10-11 10:56:43.863235
10,num_completed_trips,6.0,10801,2025-10-11 11:01:10.855285
11,total_travel_time (sec),7356.0,10801,2025-10-11 11:01:10.855286
12,total_travel_distance (m),76732.3763560194,10801,2025-10-11 11:01:10.855287
13,num_completed_trips,9.0,14401,2025-10-11 11:04:34.755465
14,total_travel_time (sec),9922.0,14401,2025-10-11 11:04:34.755467
15,total_travel_distance (m),97113.25304729702,14401,2025-10-11 11:04:34.755468
16,num_completed_trips,11.0,18001,2025-10-11 11:08:38.833666
17,total_travel_time (sec),13347.0,18001,2025-10-11 11:08:38.833669
18,total_travel_distance (m),132768.09913903306,18001,2025-10-11 11:08:38.833669
19,num_completed_trips,14.0,21601,2025-10-11 11:13:36.597012
20,total_travel_time (sec),17281.0,21601,2025-10-11 11:13:36.597013
21,total_travel_distance (m),181599.73098373023,21601,2025-10-11 11:13:36.597014
22,num_completed_trips,18.0,25201,2025-10-11 11:18:39.255884
23,total_travel_time (sec),23709.0,25201,2025-10-11 11:18:39.255886
24,total_travel_distance (m),235070.7297808095,25201,2025-10-11 11:18:39.255886
25,num_completed_trips,21.0,28801,2025-10-11 11:22:52.240836
26,total_travel_time (sec),26422.0,28801,2025-10-11 11:22:52.240838
27,total_travel_distance (m),262628.76498806884,28801,2025-10-11 11:22:52.240839
28,num_completed_trips,26.0,32401,2025-10-11 11:27:35.590595
29,total_travel_time (sec),31993.0,32401,2025-10-11 11:27:35.590597
30,total_travel_distance (m),327674.54151412885,32401,2025-10-11 11:27:35.590597
31,num_completed_trips,27.0,36001,2025-10-11 11:37:50.553234
32,total_travel_time (sec),33033.0,36001,2025-10-11 11:37:50.553236
33,total_travel_distance (m),345605.7090022513,36001,2025-10-11 11:37:50.553237
34,num_completed_trips,31.0,39601,2025-10-11 11:42:52.949478
35,total_travel_time (sec),42237.0,39601,2025-10-11 11:42:52.949480
36,total_travel_distance (m),469709.42821183,39601,2025-10-11 11:42:52.949481
37,num_completed_trips,39.0,43201,2025-10-11 11:48:16.433162
38,total_travel_time (sec),48995.0,43201,2025-10-11 11:48:16.433164
39,total_travel_distance (m),546521.313974008,43201,2025-10-11 11:48:16.433164
40,num_completed_trips,44.0,46801,2025-10-11 11:54:16.484320
41,total_travel_time (sec),59498.0,46801,2025-10-11 11:54:16.484322
42,total_travel_distance (m),647034.9927894946,46801,2025-10-11 11:54:16.484322
43,num_completed_trips,53.0,50401,2025-10-11 11:59:03.261527
44,total_travel_time (sec),72681.0,50401,2025-10-11 11:59:03.261529
45,total_travel_distance (m),776901.0133763292,50401,2025-10-11 11:59:03.261529
46,num_completed_trips,56.0,54001,2025-10-11 12:03:29.656718
47,total_travel_time (sec),76593.0,54001,2025-10-11 12:03:29.656720
48,total_travel_distance (m),823649.1344713062,54001,2025-10-11 12:03:29.656721
49,num_completed_trips,58.0,57601,2025-10-11 12:08:15.034060
