id,key,value,step,created_at
1,num_completed_trips,0.0,1,2025-10-11 09:01:36.015448
2,total_travel_time (sec),0.0,1,2025-10-11 09:01:36.015450
3,total_travel_distance (m),0.0,1,2025-10-11 09:01:36.015450
4,num_completed_trips,4.0,3601,2025-10-11 09:04:34.934933
5,total_travel_time (sec),6178.0,3601,2025-10-11 09:04:34.934935
6,total_travel_distance (m),54071.28123376914,3601,2025-10-11 09:04:34.934936
7,num_completed_trips,5.0,7201,2025-10-11 09:09:07.305496
8,total_travel_time (sec),7079.0,7201,2025-10-11 09:09:07.305499
9,total_travel_distance (m),59832.86414072795,7201,2025-10-11 09:09:07.305500
10,num_completed_trips,6.0,10801,2025-10-11 09:12:46.856600
11,total_travel_time (sec),8340.0,10801,2025-10-11 09:12:46.856602
12,total_travel_distance (m),70708.67205649985,10801,2025-10-11 09:12:46.856603
13,num_completed_trips,9.0,14401,2025-10-11 09:17:10.832289
14,total_travel_time (sec),12097.0,14401,2025-10-11 09:17:10.832290
15,total_travel_distance (m),109918.99280027483,14401,2025-10-11 09:17:10.832291
16,num_completed_trips,10.0,18001,2025-10-11 09:20:14.458109
17,total_travel_time (sec),16268.0,18001,2025-10-11 09:20:14.458111
18,total_travel_distance (m),151697.86278809558,18001,2025-10-11 09:20:14.458111
19,num_completed_trips,14.0,21601,2025-10-11 09:25:40.917210
20,total_travel_time (sec),20535.0,21601,2025-10-11 09:25:40.917213
21,total_travel_distance (m),184871.7736699289,21601,2025-10-11 09:25:40.917214
22,num_completed_trips,18.0,25201,2025-10-11 09:30:11.954292
23,total_travel_time (sec),26239.0,25201,2025-10-11 09:30:11.954294
24,total_travel_distance (m),237284.67077884907,25201,2025-10-11 09:30:11.954295
25,num_completed_trips,20.0,28801,2025-10-11 09:34:10.868714
26,total_travel_time (sec),28987.0,28801,2025-10-11 09:34:10.868715
27,total_travel_distance (m),269562.82914423605,28801,2025-10-11 09:34:10.868715
28,num_completed_trips,21.0,32401,2025-10-11 09:37:53.917232
29,total_travel_time (sec),32927.0,32401,2025-10-11 09:37:53.917234
30,total_travel_distance (m),300281.83427658596,32401,2025-10-11 09:37:53.917235
31,num_completed_trips,24.0,36001,2025-10-11 09:42:02.278537
32,total_travel_time (sec),35827.0,36001,2025-10-11 09:42:02.278539
33,total_travel_distance (m),326357.3892684837,36001,2025-10-11 09:42:02.278539
34,num_completed_trips,29.0,39601,2025-10-11 09:47:03.821877
35,total_travel_time (sec),46549.0,39601,2025-10-11 09:47:03.821878
36,total_travel_distance (m),412112.6749568214,39601,2025-10-11 09:47:03.821878
37,num_completed_trips,37.0,43201,2025-10-11 09:51:30.777186
38,total_travel_time (sec),60364.0,43201,2025-10-11 09:51:30.777186
39,total_travel_distance (m),534756.5784052282,43201,2025-10-11 09:51:30.777187
40,num_completed_trips,45.0,46801,2025-10-11 09:55:17.194072
41,total_travel_time (sec),76500.0,46801,2025-10-11 09:55:17.194073
42,total_travel_distance (m),684077.4032590613,46801,2025-10-11 09:55:17.194073
43,num_completed_trips,48.0,50401,2025-10-11 09:59:26.533173
44,total_travel_time (sec),79266.0,50401,2025-10-11 09:59:26.533174
45,total_travel_distance (m),703924.2172255891,50401,2025-10-11 09:59:26.533175
46,num_completed_trips,49.0,54001,2025-10-11 10:03:31.267939
47,total_travel_time (sec),81299.0,54001,2025-10-11 10:03:31.267941
48,total_travel_distance (m),723126.639780938,54001,2025-10-11 10:03:31.267941
49,num_completed_trips,52.0,57601,2025-10-11 10:07:22.907638
50,total_travel_time (sec),85568.0,57601,2025-10-11 10:07:22.907640
51,total_travel_distance (m),759161.3796899128,57601,2025-10-11 10:07:22.907641
52,num_completed_trips,55.0,61201,2025-10-11 10:11:40.342325
53,total_travel_time (sec),90228.0,61201,2025-10-11 10:11:40.342326
54,total_travel_distance (m),807097.4787374911,61201,2025-10-11 10:11:40.342327
